a,aː
undir-vagnar-nir,ʏntɪrvaknatnɪr
undir-vagni,ʏntɪrvaknɪ
undir-verkefna,ʏntɪrvɛr̥kɛpna
undir-verkefni,ʏntɪrvɛr̥kɛpnɪ
undir-verktaka,ʏntɪrvɛr̥ktʰaka
undir-vögnum,ʏntɪrvœknʏm
undirlið-þjálfi,ʏntɪrlɪðθjaulvɪ
undirofursti,ʏntɪrɔːvʏr̥stɪ
undirofurstinn,ʏntɪrɔːvʏr̥stɪn
undirritunar-aðili,ʏntɪrɪtʏnaraːðɪlɪ
undirskriftalista,ʏntɪr̥skrɪftalɪsta
undirstöðu-atriði,ʏntɪrstœðʏaːtrɪðɪ
undirstöðu-rit,ʏntɪr̥stœðʏrɪːt
undið,ʏntɪð
undr-andi,ʏntrantɪ
undra,ʏntra
undra-djúpt,ʏntratjuft
undra-land,ʏntralant
undra-skömmum,ʏntraskœmʏm
undralandi,ʏntralantɪ
undrast,ʏntrast
undrað-ist,ʏntraðɪst
undraði,ʏntraðɪ
undri,ʏntrɪ
undrum,ʏntrʏm
undrun,ʏntrʏn
undrunar,ʏntrʏnar
undrunar-svip,ʏntrʏnarsvɪːp
undrunin,ʏntrʏnɪn
undruðust,ʏntrʏðʏst
undu,ʏntʏ
undur,ʏntʏr
undur-fögur,ʏntʏrfœːɣʏr
undur-hlý,ʏntʏrl̥iː
undur-samlega,ʏntʏrsamlɛɣa
undur-samlegt,ʏntʏrsamlɛxt
undur-samlegu,ʏntʏrsamlɛɣʏ
ung,uŋk
ung-barn,uŋkpatn̥
ung-barna,uŋkpatna
ung-barni,uŋkpatnɪ
ung-börn,uŋkpœtn̥
ung-dæmi,uŋtaimɪ
ung-frú,uŋkfru
ung-frúin,uŋkfruin
ung-hundur,uŋkhʏntʏr
ung-kálfum,uŋkʰaulvʏm
ung-liða,uŋklɪða
ung-menna,uŋkmɛna
ung-menni,uŋkmɛnɪ
ung-mennin,uŋkmɛnɪn
ung-mennum,uŋkmɛnʏm
ung-stjarnan,uŋkstjartnan
ung-templarar,uŋktʰɛm̥plarar
ung-verja,uŋkvɛrja
ung-verjar,uŋkvɛrjar
ung-verji,uŋkvɛrjɪ
ung-verska,uŋkvɛr̥ska
ung-versku,uŋkvɛr̥skʏ
ung-viðið,uŋkvɪðɪð
unga,uŋka
unga-barn,uŋkapatn̥
unga-barni,uŋkapatnɪ
ungan,uŋkan
ungana,uŋkana
unganna,uŋkana
ungar,uŋkar
ungbarna-sundi,uŋkpartnasʏntɪ
ungdómsins,uŋtoumsɪns
ungi,uɲcɪ
unginn,uɲcɪn
ungir,uɲcɪr
ungling,uŋliŋkʏr
ungling-ana,uŋlinkana
ungling-anna,uŋlinkana
ungling-arnir,uŋlinkatnɪr
unglinga,uŋlinka
unglinga-bækur,uŋliŋkapaiːkʏr
unglinga-deildin,uŋliŋkateiltɪn
unglinga-deildinni,uŋlinkateiltɪnɪ
unglinga-deildir,uŋlinkateiltɪr
unglinga-diskóið,uŋliŋkatɪskouɪð
unglinga-flokksins,uŋliŋkaflɔhksɪns
unglinga-geðdeild,uŋlinkacɛðteilt
unglinga-lands-móti,uŋliŋkalantsmoutɪ
unglinga-menningar,uŋliŋkamɛniŋkar
unglinga-menningu,uŋliŋkamɛniŋkʏ
unglinga-móti,uŋliŋkamouːtɪ
unglinga-nefnd,uŋliŋkanɛmt
unglinga-stigi,uŋliŋkastiːjɪ
unglingakór,uŋlinkakʰouːr
unglingar,uŋlinkar
unglingastarf,uŋlinkastarv
unglingavinn-unni,uŋliŋkavɪnʏnɪ
unglingi,uŋliɲcɪ
unglinginn,uŋliɲcɪn
unglings,uŋliŋs
unglings-aldri,uŋliŋsaltrɪ
unglings-legt,uŋliŋstlɛxt
unglings-stúlka,uŋliŋstul̥ka
unglings-árin,uŋliŋsauːrɪn
unglings-árum,uŋliŋsauːrʏm
unglingsins,uŋliŋsɪns
unglingsár,uŋliŋsauːr
unglingsárunum,uŋliŋsauːrɔnʏm
unglingum,uŋliŋkʏm
unglingunum,uŋliŋkɔnʏm
unglingur,uŋliŋkʏr
unglingurinn,uŋliŋkʏrɪn
ungliða-hreyfinga,uŋklɪðar̥eiːviŋka
ungliða-sambandi,uŋklɪðasampantɪ
ungmenna-deildinni,uŋkmɛnateiltɪnɪ
ungmenna-félag,uŋkmɛnafjɛːlaɣ
ungmenna-félags,uŋkmɛnafjɛːlaxs
ungmenna-hreyfing,uŋkmɛnar̥eiːviŋk
ungmenna-hreyfing-unni,uŋkmɛnar̥eiːviŋkʏnɪ
ungmenna-ráð,uŋkmɛnarauːð
ungmenna-skipti,uŋkmɛnascɪftɪ
ungra,uŋkra
ungrar,uŋkrar
ungri,uŋkrɪ
ungs,uŋs
ungsveit,uŋksveit
ungt,uŋ̊t
ungu,uŋkʏ
ungum,uŋkʏm
ungunum,uŋkɔnʏm
ungur,uŋkʏr
ungverja-land,uŋkvɛrjalant
ungverja-landi,uŋkvɛrjalantɪ
ungverja-lands,uŋkvɛrjalants
ungverjalandskappaksturinn,uŋkvɛrjalantskʰahpakstʏrɪn
uni,ʏːnɪ
unir,ʏːnɪr
unn-endum,ʏnɛntʏm
unn-endur,ʏnɛntʏr
unn-steinn,ʏnsteitn̥
unn-vörpum,ʏmvœr̥pʏm
unna,ʏna
unnandi,ʏnantɪ
unnar,ʏnar
unnars-dóttir,ʏnar̥stouhtɪr
unnars-dóttur,ʏnarstouhtʏr
unnars-son,ʏnar̥sɔːn
unnað,ʏnað
unni,ʏnɪ
unnin,ʏnɪn
unninn,ʏnɪn
unnir,ʏnɪr
unnist,ʏnɪst
unnið,ʏnɪð
unnsteins-dóttir,ʏnsteinstouhtɪr
unnsteins-son,ʏnsteinsɔːn
unnt,ʏn̥t
unnu,ʏnʏ
unnum,ʏnʏm
unnur,ʏnʏr
unnust,ʏnʏst
unnusta,ʏnʏsta
unnustan,ʏnʏstan
unnusti,ʏnʏstɪ
unnustinn,ʏnʏstɪn
unnustu,ʏnʏstʏ
uns,ʏns
unt,ʏn̥t
unu,ʏːnʏ
unun,ʏːnʏn
upp,ʏhp
upp-alin,ʏhpalɪn
upp-alinn,ʏhpalɪn
upp-blásin,ʏhplausɪn
upp-boð,ʏhpɔð
upp-boði,ʏhpɔðɪ
upp-boðinu,ʏhpɔðɪnʏ
upp-boðið,ʏhpɔðɪð
upp-boðum,ʏhpɔðʏm
upp-brett,ʏhprɛht
upp-brettar,ʏhprɛhtar
upp-byggi-legt,ʏhpɪcɪlɛxt
upp-bygging,ʏhpɪciŋk
upp-byggingar,ʏhpɪciŋkar
upp-byggingar-starf,ʏhpɪciŋkarstarv
upp-byggingin,ʏhpɪciɲcɪn
upp-byggingu,ʏhpɪciŋkʏ
upp-bygginguna,ʏhpɪciŋkʏna
upp-byggingunni,ʏhpɪciŋkʏnɪ
upp-byggjandi,ʏhpɪcantɪ
upp-byggt,ʏhpɪxt
upp-byggð,ʏhpɪɣð
upp-búið,ʏhpuɪð
upp-drag,ʏhptraɣ
upp-drátt,ʏhptrauht
upp-dráttar,ʏhptrauhtar
upp-dráttinn,ʏhptrauhtɪn
upp-dráttur,ʏhptrauhtʏr
upp-drætti,ʏhptraihtɪ
upp-drættinum,ʏhptraihtɪnʏm
upp-drættir,ʏhptraihtɪr
upp-eldi,ʏhpɛltɪ
upp-eldinu,ʏhpɛltɪnʏ
upp-eldis,ʏhpɛltɪs
upp-eldið,ʏhpɛltɪð
upp-finn-ing,ʏfɪniŋk
upp-fræða,ʏhpfraiða
upp-fræðslu,ʏhpfraiðstlʏ
upp-full,ʏhpfʏtl̥
upp-fullur,ʏhpfʏtlʏr
upp-fylla,ʏhpfɪtla
upp-fylli,ʏhpfɪtlɪ
upp-fyllingu,ʏhpfɪtliŋkʏ
upp-fyllingum,ʏhpfɪtliŋkʏm
upp-fyllir,ʏhpfɪtlɪr
upp-fyllt,ʏhpfɪl̥t
upp-fyllta,ʏhpfɪl̥ta
upp-fylltar,ʏhpfɪl̥tar
upp-fyllti,ʏhpfɪl̥tɪ
upp-fylltu,ʏhpfɪl̥tʏ
upp-fylltum,ʏhpfɪl̥tʏm
upp-færa,ʏhpfaira
upp-færir,ʏhpfairɪr
upp-færsla,ʏhpfair̥stla
upp-færslu,ʏhpfair̥stlʏ
upp-færslum,ʏhpfair̥stlʏm
upp-færslunni,ʏhpfair̥stlʏnɪ
upp-færslur,ʏhpfair̥stlʏr
upp-gang,ʏhpkauŋk
upp-gangi,ʏhpkauɲcɪ
upp-ganginn,ʏhpkauɲcɪn
upp-gangur,ʏhpkauŋkʏr
upp-gefin,ʏhpcɛvɪn
upp-gefinn,ʏhpcɛvɪn
upp-gefið,ʏhpcɛvɪð
upp-gefnir,ʏhpcɛpnɪr
upp-gerð,ʏhpcɛrð
upp-gerðar,ʏhpcɛrðar
upp-gjafar,ʏhpcavar
upp-gjöf,ʏhpcœv
upp-gjör,ʏhpcœr
upp-gjöri,ʏhpcœrɪ
upp-gjörinu,ʏhpcœrɪnʏ
upp-gjörið,ʏhpcœrɪð
upp-gjörs,ʏhpcœr̥s
upp-glennt,ʏhpklɛn̥t
upp-græðslu,ʏhpkraiðstlʏ
upp-gröft,ʏhpkrœft
upp-gröftinn,ʏhpkrœftɪn
upp-gufun,ʏhpkʏvʏn
upp-götva,ʏhpkœtva
upp-götvanir,ʏhpkœtvanɪr
upp-götvar,ʏhpkœtvar
upp-götvað,ʏhpkœtvað
upp-götvaði,ʏhpkœtvaðɪ
upp-götvaðist,ʏhpkœtvaðɪst
upp-götvun,ʏhpkœtvʏn
upp-götvunum,ʏhpkœtvʏnʏm
upp-götvuðu,ʏhpkœtvʏðʏ
upp-haf,ʏhphav
upp-hafi,ʏhphavɪ
upp-hafið,ʏhphavɪð
upp-hafningu,ʏhphapniŋkʏ
upp-hafs,ʏhphafs
upp-handlegg,ʏhphantlɛk
upp-handlegginn,ʏhphantlɛcɪn
upp-hefja,ʏhphɛvja
upp-hefst,ʏhphɛfst
upp-hefð,ʏhphɛvð
upp-hengingar,ʏhpheiɲciŋkar
upp-hitun,ʏhphɪtʏn
upp-hitunar,ʏhphɪtʏnar
upp-hlaup,ʏhpl̥œip
upp-hleyptir,ʏhpl̥eiftɪr
upp-hleyptum,ʏhpl̥eiftʏm
upp-hlut,ʏhpl̥ʏt
upp-hugsa,ʏhphʏksa
upp-hátt,ʏhphauht
upp-háum,ʏhpauʏm
upp-hæð,ʏhphaið
upp-hæðar,ʏhphaiðar
upp-hæðin,ʏhphaiðɪn
upp-hæðina,ʏhphaiðɪna
upp-hæðir,ʏhphaiðɪr
upp-hæðum,ʏhphaiðʏm
upp-hófst,ʏhphoufst
upp-hófust,ʏhphouvʏst
upp-höfnu,ʏhphœpnʏ
upp-kast,ʏhpkʰast
upp-kastið,ʏhpkʰastɪð
upp-komin,ʏhpkʰɔmɪn
upp-komnar,ʏhpkʰɔmnar
upp-lag,ʏhplaɣ
upp-lagi,ʏhplaijɪ
upp-lagið,ʏhplaijɪð
upp-lagt,ʏhplaxt
upp-landi,ʏhplantɪ
upp-lausn,ʏhplœistn̥
upp-leið,ʏhpleið
upp-lesnu,ʏhplɛstnʏ
upp-lestri,ʏhplɛstrɪ
upp-lestur,ʏhplɛstʏr
upp-lifa,ʏhplɪva
upp-lifað,ʏhplɪvað
upp-lifi,ʏhplɪvɪ
upp-lifir,ʏhplɪvɪr
upp-lifum,ʏhplɪvʏm
upp-lifun,ʏhplɪvʏn
upp-lifði,ʏhplɪvðɪ
upp-lifðu,ʏhplɪvðʏ
upp-lifðum,ʏhplɪvðʏm
upp-litaðar,ʏhplɪtaðar
upp-ljómað,ʏhpljoumað
upp-ljóstrun,ʏhpljoustrʏn
upp-lokið,ʏhplɔcɪð
upp-lífgandi,ʏhplivkantɪ
upp-lýsa,ʏhplisa
upp-lýsandi,ʏhplisantɪ
upp-lýsi,ʏhplisɪ
upp-lýsinga,ʏhplisiŋka
upp-lýsinga-bækling,ʏhplisiŋkapaihkliŋk
upp-lýsinga-miðstöð,ʏhplisiŋkamɪðstœð
upp-lýsingar,ʏhplisiŋkar
upp-lýsingarnar,ʏhplisiŋkatnar
upp-lýsingum,ʏhplisiŋkʏm
upp-lýsingunum,ʏhplisiŋkɔnʏm
upp-lýsir,ʏhplisɪr
upp-lýst,ʏhplist
upp-lýsta,ʏhplista
upp-lýstan,ʏhplistan
upp-lýsti,ʏhplistɪ
upp-lýstir,ʏhplistɪr
upp-lýstu,ʏhplistʏ
upp-lýstum,ʏhplistʏm
upp-lýstur,ʏhplistʏr
upp-mjóan,ʏhpmjouan
upp-mjótt,ʏhpmjouht
upp-máluð,ʏhpmaulʏð
upp-nefna,ʏhpnɛpna
upp-nefni,ʏhpnɛpnɪ
upp-numinn,ʏhpnʏmɪn
upp-nám,ʏhpnaum
upp-námi,ʏhpnaumɪ
upp-reisn,ʏhpreistn̥
upp-reisnar,ʏhpreistnar
upp-reisnin,ʏhpreistnɪn
upp-rennandi,ʏhprɛnantɪ
upp-rifjun,ʏhprɪvjʏn
upp-risu,ʏhprɪsʏ
upp-runa,ʏhprʏna
upp-runi,ʏhprʏnɪ
upp-runnin,ʏhprʏnɪn
upp-runninn,ʏhprʏnɪn
upp-ræta,ʏhpraita
upp-rétt,ʏhprjɛht
upp-réttur,ʏhprjɛhtʏr
upp-röðun,ʏhprœðʏn
upp-rúllaðar,ʏhprulaðar
upp-safnaðar,ʏhpsapnaðar
upp-sagna,ʏhpsakna
upp-sagnar,ʏhpsaknar
upp-sagnir,ʏhpsaknɪr
upp-sagnir-nar,ʏhpsaknɪtnar
upp-selt,ʏhpsɛl̥t
upp-setning,ʏhpsɛhtniŋk
upp-setningar,ʏhpsɛhtniŋkar
upp-setningu,ʏhpsɛhtniŋkʏ
upp-sett,ʏhpsɛht
upp-siglingu,ʏhpsɪkliŋkʏ
upp-sjávar-karfanum,ʏhpsjauvar̥kʰarvanʏm
upp-skar,ʏhpskar
upp-sker,ʏhpscɛr
upp-skera,ʏhpscɛra
upp-skeran,ʏhpscɛran
upp-skeru,ʏhpscɛrʏ
upp-skipt,ʏhpscɪft
upp-skipting,ʏhpscɪftiŋk
upp-skipun,ʏhpscɪpʏn
upp-skipunin,ʏhpscɪpʏnɪn
upp-skorið,ʏhpskɔrɪð
upp-skrift,ʏhpskrɪft
upp-skriftin,ʏhpskrɪftɪn
upp-skriftir,ʏhpskrɪftɪr
upp-skriftum,ʏhpskrɪftʏm
upp-skurð,ʏhpskʏrð
upp-skáru,ʏhpskaurʏ
upp-skátt,ʏhpskauht
upp-spretta,ʏhpsprɛhta
upp-sprettu,ʏhpsprɛhtʏ
upp-spuni,ʏhpspʏnɪ
upp-steyt,ʏhpsteit
upp-stillingin,ʏhpstɪtliɲcɪn
upp-stillingu,ʏhpstɪtliŋkʏ
upp-stillingum,ʏhpstɪtliŋkʏm
upp-stillingunni,ʏhpstɪtliŋkʏnɪ
upp-stokkun,ʏhpstɔhkʏn
upp-stúfi,ʏhpstuvɪ
upp-stúfur,ʏhpstuvʏr
upp-sveifla,ʏhpsveipla
upp-sveiflu,ʏhpsveiplʏ
upp-sveita,ʏhpsveita
upp-sveitum,ʏhpsveitʏm
upp-söfnun,ʏhpsœpnʏn
upp-söfnuð,ʏhpsœpnʏð
upp-sögn,ʏhpsœkn̥
upp-sögnum,ʏhpsœknʏm
upp-sölu,ʏhpsœlʏ
upp-sölum,ʏhpsœlʏm
upp-taka,ʏhptʰaka
upp-taktur,ʏhptʰaxtʏr
upp-talning,ʏhptʰalniŋk
upp-talningu,ʏhptʰalniŋkʏ
upp-tekin,ʏhptʰɛcɪn
upp-tekinn,ʏhptʰɛcɪn
upp-teknar,ʏhptʰɛhknar
upp-teknir,ʏhptʰɛhknɪr
upp-teknum,ʏhptʰɛhknʏm
upp-tæk,ʏhptʰaik
upp-tækar,ʏhptʰaikar
upp-tök,ʏhptʰœk
upp-tökin,ʏhptʰœcɪn
upp-töku,ʏhptʰœkʏ
upp-tökum,ʏhptʰœkʏm
upp-tökuna,ʏhptʰœkʏna
upp-tökur,ʏhptʰœkʏr
upp-tökurnar,ʏhpʰtœkʏtnar
upp-urin,ʏhpʏrɪn
upp-urið,ʏhpʏrɪð
upp-vaskið,ʏhpvascɪð
upp-vaxtarár,ʏhpvakstarauːr
upp-vexti,ʏhpvɛkstɪ
upp-vextinum,ʏhpvɛkstɪnʏm
upp-veðraður,ʏhpvɛðraðʏr
upp-við,ʏhpvɪð
upp-vægur,ʏhpvaiɣʏr
upp-vís,ʏhpvis
upp-örvandi,ʏhpœrvantɪ
upp-örvun,ʏhpœrvʏn
upp-þornað,ʏhpθɔtnað
upp-þornaðar,ʏhpθɔtnaðar
upp-þornaður,ʏhpθɔtnaðʏr
upp-þota,ʏhpθɔta
uppalegur,ʏhpalɛːɣʏr
uppað,ʏhpað
uppeldis-fræðina,ʏhpɛltɪsfraiːðɪna
uppeldis-nefnd,ʏhpɛltɪstnɛmt
uppeldis-starfs,ʏhpɛltɪstars
uppeldis-stefnu,ʏhpɛltɪstɛpnʏ
uppfinninga-maður,ʏfɪniŋkamaːðʏr
uppfinninga-menn,ʏhpfɪniŋkamɛn
uppfletti-rit,ʏhpflɛhtɪrɪt
uppfrá,ʏfrau
uppgjafar-tón,ʏhpcavartʰouːn
upphaf-lega,ʏhphavlɛɣa
upphaf-legu,ʏhphavlɛɣʏ
upphaf-legum,ʏhphavlɛɣʏm
upphaflegar,ʏhphavlɛɣar
upphaflegri,ʏhphavlɛɣrɪ
upphafs-aðili,ʏhphafsaːðɪlɪ
upphafs-högg,ʏhphavshœk
upphafs-maður,ʏhphafsmaːðʏr
upphafs-póstur,ʏhphavspʰoustʏr
upphafs-stigum,ʏhpavstɪɣʏm
upphafs-síða,ʏhphavsiːða
uppi,ʏhpɪ
uppi-hald,ʏhpɪhalt
uppi-skroppa,ʏhpɪskrɔhpa
uppi-stand,ʏhpɪstant
uppi-staða,ʏhpɪstaːða
uppi-staðan,ʏhpɪstaːðan
uppistand-andi,ʏhpɪstantantɪ
uppistöðu-grein,ʏhpɪstœðʏkreiːn
uppistöðu-lón,ʏhpɪstœðʏlouːn
uppljóstr-ara,ʏhpljoustrara
upplyft-andi,ʏhplɪftantɪ
upplíminga-fólksins,ʏhplimiŋkafoul̥ksɪns
upplýsinga-bransanum,ʏhplisiŋkapransanʏm
upplýsinga-flæði,ʏhplisiŋkaflaiːðɪ
upplýsinga-fulltrúa,ʏhplisiŋkafʏtl̥tʰrua
upplýsinga-fulltrúi,ʏhplisiŋkafʏtl̥tʰruɪ
upplýsinga-gjöf,ʏhplisiŋkacœːv
upplýsinga-kerfa,ʏhplisiŋkacʰɛrva
upplýsinga-kerfi,ʏhplisiŋkacʰɛrvɪ
upplýsinga-kerfið,ʏhplisiŋkacʰɛrvɪð
upplýsinga-laga,ʏhplisiŋkalaːɣa
upplýsinga-miðlun,ʏhplisiŋkamɪðlʏn
upplýsinga-miðstöðin,ʏhplisiŋkamɪðstœðɪn
upplýsinga-rit,ʏhplisiŋkarɪːt
upplýsinga-skrifstofunnar,ʏhplisiŋkaskrɪfstɔvʏnar
upplýsinga-skyldu,ʏhplisiŋkascɪltʏ
upplýsinga-streymi,ʏhplisiŋkastreiːmɪ
upplýsinga-tækni,ʏhplisiŋkatʰaihknɪ
upplýsinga-tækninnar,ʏhplisiŋkatʰaihknɪnar
upplýsinga-vef,ʏhplisiŋkavɛːv
upplýsinga-vefur,ʏhplisiŋkavɛːvʏr
upplýsinga-veita,ʏhplisiŋkaveiːta
upplýsinga-öflun,ʏhplisiŋkaœplʏn
upplýsingar-tækni,ʏhplisiŋkar̥tʰaihknɪ
upplýsingasími,ʏhplisiŋkasiːmɪ
upplýsingatækni-bylting,ʏhplisiŋkatʰaihknɪpɪl̥tɪŋk
upplýsingatækni-iðnaðar-ins,ʏhplisiŋkatʰaihknɪɪðnaðarɪns
upplýsingatækni-svið,ʏhplisiŋkatʰaihknɪsvɪːð
uppreisna-manna,ʏhpreistnamana
uppreisnar-fullt,ʏhpreistnar̥fʏl̥t
uppreisnar-manna,ʏhpreistnarmana
uppreisnar-menn,ʏhpreistnarmɛn
uppruna-leg,ʏhprʏnalɛːɣ
uppruna-lega,ʏhprʏnalɛɣa
uppruna-legar,ʏhprʏnalɛːɣar
uppruna-legi,ʏhprʏnaleiɪ
uppruna-legri,ʏhprʏnalɛɣrɪ
uppruna-legt,ʏhprʏnalɛxt
uppruna-legu,ʏhprʏnalɛɣʏ
uppruna-legum,ʏhprʏnalɛɣʏm
uppsetningar-hugbúnaður,ʏhpsɛhtniŋkarhʏɣpunaðʏr
uppsetningar-skránni,ʏhpsɛhtniŋkar̥skraunɪ
uppsjávar-fiski,ʏhpsjauvarfɪscɪ
uppskeru-hátíð,ʏhpscɛrʏhauːtʰið
uppskeru-mikil,ʏhpscɛrʏmɪːcɪl
uppskeru-tíma,ʏhpscɛrʏtʰiːma
uppskerutíminn,ʏhpscɛrʏtʰiːmɪn
uppstigningar-dag,ʏhpstɪkniŋkartaːɣ
upptöku-ferlið,ʏhptʰœkʏfɛrtlɪð
upptöku-forritið,ʏhptʰœkʏfɔrɪtɪð
upptöku-heimili,ʏhptœkʏheiːmɪlɪ
upptöku-heimilinu,ʏhptœkʏheiːmɪlɪnʏ
upptöku-heimilið,ʏhptœkʏheiːmɪlɪð
upptöku-kröfu,ʏhptʰœkʏkʰrœːvʏ
upptöku-tækið,ʏhptœkʏtʰaiːcɪð
uppundir,ʏhpʏntɪr
uppvaxtar-árum,ʏhpvakstarauːrʏm
uppvaxtarárunum,ʏhpvakstarauːrɔnʏm
uppá,ʏhpau
uppá-búin,ʏhpaupuːɪn
uppá-hald,ʏhpauhalt
uppá-haldi,ʏhpauhaltɪ
uppá-haldið,ʏhpauhaltɪð
uppá-halds,ʏhpauhals
uppá-koma,ʏhpaukʰɔːma
uppá-komu,ʏhpaukʰɔːmʏ
uppá-komum,ʏhpaukʰɔːmʏm
uppá-komur,ʏhpaukʰɔːmʏr
uppá-tæki,ʏhpautʰaiːcɪ
uppá-tækjum,ʏhpautʰaiːcʏm
uppá-þrengjandi,ʏhpauθreiɲcantɪ
uppúr,ʏhpur
uppþvotta-vélina,ʏhpθvɔhtavjɛːlɪna
upsar-hrygg,ʏfsar̥ɪk
upsum,ʏfsʏm
urg,ʏrk
urrandi,ʏrantɪ
urrar,ʏrar
urrið,ʏrɪð
urriða,ʏrɪða
urriðar,ʏrɪðar
urriðavatns-dölum,ʏrɪðavastœːlʏm
ursúlu,ʏrsulʏ
urt,ʏr̥t
urt-önd,ʏr̥tœnt
urð,ʏrð
urðar,ʏrðar
urðar-brunn,ʏrðarprʏn
urðarhóla-mýri,ʏrðarhoulamiːrɪ
urðir,ʏrðɪr
urðu,ʏrðʏ
urðum,ʏrðʏm
urðunar-rein,ʏrðʏnareiːn
urðuð,ʏrðʏð
usla,ʏstla
uss,ʏs
utan,ʏːtan
utan-bókar,ʏːtanpouːkar
utan-dyra,ʏːtantɪːra
utan-gátta,ʏːtaŋkauhta
utan-húss,ʏːtanhus
utan-kjörfundar,ʏːtancʰœr̥fʏntar
utan-lands,ʏːtanlants
utan-ríkis,ʏːtanriːcɪs
utan-ríkismála-nefndar,ʏːtanricɪsmaulanɛmtar
utan-veltu,ʏːtanvɛl̥tʏ
utan-verðu,ʏːtanvɛrðʏ
utanað,ʏːtanað
utanað-komandi,ʏːtanaðkʰɔːmantɪ
utanfrá,ʏːtanfrauː
utanlands-ferð,ʏːtanlantsfɛrð
utanlands-ferðar,ʏːtanlantsfɛrðar
utanlands-ferðir,ʏːtanlantsfɛrðɪr
utanríkis-mál,ʏːtanricɪsmauːl
utanríkis-málum,ʏːtanricɪsmauːlʏm
utanríkis-ráðherra,ʏːtanricɪsrauːðhɛra
utanríkis-ráðherrann,ʏːtanricɪsrauːðhɛran
utanríkis-ráðherrar-nir,ʏːtanricɪsrauːðhɛratnɪr
utanríkis-ráðuneytinu,ʏːtanricɪsrauːðʏneiːtɪnʏ
utanríkis-ráðuneytisins,ʏːtanricɪsrauːðʏneiːtɪsɪns
utanríkis-ráðuneytið,ʏːtanricɪsrauːðʏneiːtɪð
utanríkis-stefnu,ʏːtanricɪstɛpnʏ
utanríkis-þjónustunnar,ʏːtanricɪsθjounʏstʏnar
utanríkisviðskipta-ráðherrann,ʏːtanricɪsvɪðscɪftarauːðhɛran
utanum,ʏːtanʏm
utanundir,ʏːtanʏntɪr
utanvið,ʏːtanvɪːð
utar,ʏːtar
utar-lega,ʏːtarlɛɣa
uxa,ʏksa
uxar,ʏksar
uxi,ʏksɪ
uxu,ʏksʏ
uxum,ʏksʏm
v,vaf
vafa,vaːva
vafa-laust,vaːvalœist
vafa-lítið,vaːvaliːtɪð
vafa-mál,vaːvamauːl
vafa-sama,vaːvasaːma
vafa-samar,vaːvasaːmar
vafa-sams,vaːvasams
vafa-samt,vaːvasam̥t
vafa-sömu,vaːvasœːmʏ
vafa-sömum,vaːvasœːmʏm
vafans,vaːvans
vafasöm,vaːvasœːm
vaff,vaf
vafi,vaːvɪ
vafin,vaːvɪn
vafinn,vaːvɪn
vafist,vaːvɪst
vafið,vaːvɪð
vafra,vavra
vafrann,vavran
vafraði,vavraðɪ
vafrinn,vavrɪn
vafða,vavða
vafðar,vavðar
vafði,vapðɪ
vafðir,vavðɪr
vafðist,vavðɪst
vagg-andi,vakantɪ
vagga,vaka
vaggar,vakar
vaggaði,vakaðɪ
vagn,vakn̥
vagn-arnir,vaknatnɪr
vagn-geymsla,vakn̥keimstla
vagn-hjólin,vakn̥çoulɪn
vagn-stjórinn,vakn̥stjourɪn
vagna,vakna
vagnana,vaknana
vagnar,vaknar
vagni,vaknɪ
vagninn,vaknɪn
vagninum,vaknɪnʏm
vagnsins,vaksɪns
vaka,vaːka
vakandi,vaːkantɪ
vakað,vaːkað
vaki,vaːcɪ
vakin,vaːcɪn
vakinn,vaːcɪn
vakir,vaːcɪr
vakið,vaːcɪð
vakna,vahkna
vaknar,vahknar
vaknað,vahknað
vaknaði,vahknaðɪ
vakni,vahknɪ
vakning,vahkniŋk
vakt,vaxt
vakt-hafandi,vaxthavantɪ
vakt-þjónusta,vaxtθjounʏsta
vakta,vaxta
vakta-skipti,vaxtascɪftɪ
vaktað,vaxtað
vakti,vaxðɪ
vaktina,vaxtɪna
vaktinni,vaxtɪnɪ
vaktir,vaxtɪr
val,vaːl
val-borg,valpɔrk
val-brá,valprau
val-búnaður,valpunaðʏr
val-dís,valtis
val-dísi,valtisɪ
val-frelsi,valfrɛlsɪ
val-garð,valkarðɪ
val-garður,valkarðʏr
val-geir,valceir
val-geirs,valceir̥s
val-gerðar,valcɛrðar
val-gerði,valkɛrðɪ
val-gerður,valcɛrðʏr
val-gildi,valcɪltɪ
val-greinar,valkreinar
val-hjálmur,valçaulmʏr
val-hoppaði,vaːlɔhpaðɪ
val-höll,vaːlhœtl̥
val-kost,valkʰɔst
val-kosti,valkʰɔstɪ
val-kostir,valkʰɔstɪr
val-kostum,valkʰɔstʏm
val-kostur,valkʰɔstʏr
val-kyrjur,valcʰɪrjʏr
val-nefnd,valnɛmt
val-nefndar,valnɛmtar
val-rétt,valrjɛht
val-týr,valtʰir
vala,vaːla
vala-hnúks,vaːlan̥uks
vala-skjálf,vaːlascaulv
vald,valt
vald-andi,valtantɪ
vald-beitingar,valtpeitiŋkar
vald-hafa,valthava
vald-hafar,valthavar
vald-níðslu,valtniðstlʏ
vald-skiptingar-torgið,valtscɪftiŋkatʰɔrcɪð
valda,valta
valda-baráttu,valtapaːrauhtʏ
valda-brölts,valtaprœl̥ts
valda-hópnum,valtahouhpnʏm
valda-mestu,valtamɛstʏ
valda-rán,valtarauːn
valda-son,valtasɔːn
